Catalogue ID,Encounter number,Group code,Date day,Date month,Season,Month numberical,Date year,Full Date,Day,Week ,Bite Confirmed,Fresh bite,Sides of body seen,body,Location,Fresh bites head,Fresh bites mid-lateral,Fresh bites dorsal fin,Fresh bites peduncle,Total fresh bites,Healing head,Healing mid-lateral,Healing dorsal fin,Healing peduncle,Total healing bites,Scarred head,Scarred mid-lateral,Scarred dorsal fin,Scarred peduncle,Total Scarred bites,surface water temp,Social cluster
HIGm0054,AK #1,5,9,May,Spring,5,2003,09/05/2003,129,19,Yes,0,Right,30,lateral,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,26.57964394,H19
HIGm0057,AK #1,5,9,May,Spring,5,2003,09/05/2003,129,19,No,0,Left,40,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.57964394,H19
HIGm0069,WH #3,7,10,May,Spring,5,2003,10/05/2003,130,19,Yes,0,Right,20,lateral,0,0,0,0,0,0,1,0,0,1,0,2,0,0,2,25.93590629,H19
HIGm0072,WH #3,7,10,May,Spring,5,2003,10/05/2003,130,19,Yes,0,Right,20,peduncle,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,25.93590629,H19
HIGm0066,WH #3,7,10,May,Spring,5,2003,10/05/2003,130,19,No,0,Right,20,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.93590629,H19
HIGm0070,WH #3,7,10,May,Spring,5,2003,10/05/2003,130,19,Yes,0,Right,20,peduncle,0,0,0,0,0,0,0,0,0,0,0,5,0,5,10,25.93590629,H19
HIGm0071,WH #3,7,10,May,Spring,5,2003,10/05/2003,130,19,No,0,Left,20,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.93590629,H19
HIGm0073,WH #3,7,10,May,Spring,5,2003,10/05/2003,130,19,No,0,Left,20,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.93590629,H19
HIGm0074,WH #3,7,10,May,Spring,5,2003,10/05/2003,130,19,No,0,Left,20,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.93590629,H19
HIGm0075,WH #3,7,10,May,Spring,5,2003,10/05/2003,130,19,No,0,Left,10,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.93590629,H19
HIGm0157,WW #1,20,11,October,Summer,10,2003,11/10/2003,284,41,No,0,Left,20,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.79028706,H20
HIGm0160,WW #1,20,11,October,Summer,10,2003,11/10/2003,284,41,Yes,0,Right,20,lateral,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,26.79028706,H20
HIGm0163,WW #1,20,11,October,Summer,10,2003,11/10/2003,284,41,No,0,Both,20,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.79028706,H20
HIGm0212,WW #1,20,11,October,Summer,10,2003,11/10/2003,284,41,No,0,Right,10,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.79028706,H20
HIGm0151,WW #1,20,11,October,Summer,10,2003,11/10/2003,284,41,No,0,Left,10,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.79028706,H22
HIGm0152,WW #1,20,11,October,Summer,10,2003,11/10/2003,284,41,No,0,Right,30,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.79028706,H22
HIGm0153,WW #1,20,11,October,Summer,10,2003,11/10/2003,284,41,No,0,Right,30,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.79028706,H22
HIGm0154,WW #1,20,11,October,Summer,10,2003,11/10/2003,284,41,No,0,Right,30,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.79028706,H22
HIGm0155,WW #1,20,11,October,Summer,10,2003,11/10/2003,284,41,No,0,Left,30,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.79028706,H22
HIGm0156,WW #1,20,11,October,Summer,10,2003,11/10/2003,284,41,No,0,Left,20,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.79028706,H22
HIGm0161,WW #1,20,11,October,Summer,10,2003,11/10/2003,284,41,Yes,0,Right,20,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.79028706,H22
HIGm0298,WW #1,20,11,October,Summer,10,2003,11/10/2003,284,41,No,0,Right,10,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.79028706,H22
HIGm0380,WW #1,20,11,October,Summer,10,2003,11/10/2003,284,41,No,0,Right,20,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.79028706,H22
HIGm0198,DJM,27,14,September,Summer,9,2004,14/09/2004,258,38,Yes,0,Both,40,head,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,27.2793295,H26
HIGm0230,DJM,27,14,September,Summer,9,2004,14/09/2004,258,38,No,0,Right,10,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2793295,H11
HIGm0232,DJM,27,14,September,Summer,9,2004,14/09/2004,258,38,Yes,0,Both,20,peduncle,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,27.2793295,H11
HIGm0400,DJM,27,14,September,Summer,9,2004,14/09/2004,258,38,Yes,0,Both,20,head,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,27.2793295,H11
HIGm0199,DJM,27,14,September,Summer,9,2004,14/09/2004,258,38,Yes,0,Both,30,peduncle,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,27.2793295,H26
HIGm0334,DJM Enc 1,29,16,September,Summer,9,2004,16/09/2004,260,38,Yes,0,Both,20,peduncle,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,27.2793295,H20
HIGm0335,DJM Enc 1,29,16,September,Summer,9,2004,16/09/2004,260,38,Yes,0,Both,20,dorsal,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,27.2793295,H20
HIGm0336,DJM Enc 1,29,16,September,Summer,9,2004,16/09/2004,260,38,No,0,Right,10,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2793295,H20
HIGm0340,DJM Enc 1,29,16,September,Summer,9,2004,16/09/2004,260,38,No,0,Both,20,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2793295,H20
HIGm0341,DJM Enc 1,29,16,September,Summer,9,2004,16/09/2004,260,38,No,0,Both,10,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2793295,H20
HIGm0334,Enc 3,32,18,September,Summer,9,2004,18/09/2004,262,38,Yes,0,Both,20,lateral,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,27.2793295,H20
HIGm0335,Enc 3,32,18,September,Summer,9,2004,18/09/2004,262,38,Yes,0,Both,20,lateral,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,27.2793295,H20
HIGm0336,Enc 3,32,18,September,Summer,9,2004,18/09/2004,262,38,Yes,0,Left,10,dorsal,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,27.2793295,H20
HIGm0337,Enc 3,32,18,September,Summer,9,2004,18/09/2004,262,38,No,0,Right,10,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2793295,H20
HIGm0338,Enc 3,32,18,September,Summer,9,2004,18/09/2004,262,38,No,0,Right,20,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2793295,H20
HIGm0339,Enc 3,32,18,September,Summer,9,2004,18/09/2004,262,38,Yes,0,Right,10,lateral,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,27.2793295,H20
HIGm0340,Enc 3,32,18,September,Summer,9,2004,18/09/2004,262,38,Yes,0,Both,10,lateral,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,27.2793295,H20
HIGm0341,Enc 3,32,18,September,Summer,9,2004,18/09/2004,262,38,No,0,Left,20,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2793295,H20
HIGm0215,DJM,38,21,September,Summer,9,2004,21/09/2004,265,39,No,0,Left,30,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.31724141,H11
